service_no,service,required_documents,fee,processing_time,responsible_person,start_page,end_page
१,जन्म दर्ता,"q. public.donidcr.gov.np प्रयोग गरी
अनलाईन फाराम भरेर लिइएको
टोकन नम्बर,
२. आमा बाबु को नागरिकता
प्रमाणपत्रको प्रतिलिपि,
३. आमाबाबुको विवाह दर्ता
प्रमाणपत्रको प्रतिलिपि,
४. अस्पतालमा जन्म भए काको
हकमा अस्पताल बाट जारी जन्म
प्रमाण पत्र,
५. घरमा जन्म भएको भए खोप
कार्ड वा अन्य जन्ममिति खुल्ने
कागजात,
६. बसाइँसरा Smt आएको भए
बसाइँसराईइँ प्रमाणपत्रको प्रतिलिपि,
७. विदेशमा जन्म भएकाको हकमा
सम्बन्धित नेपाली नियोगबाट वा
कन्सुलर सेवा बिभागबाट प्रमाणित
कागज,","जन्म भएक
३५ Ǒदन
Ǔभğ शुल्
नलाग्न,
सो
समय पǓछ
र.
५०
शुल्
क लाग्","सोहि दिन्‌
सर्जमिनको
हकमा
बढीमा ५
दिन","स्थानीय
पञ्जिकाधिकारी
(वडा सचिव)",1,2
२,"बिवाह दर्ता
सी","१. public.donidcr.gov.np प्रयोग
गरी अनलाईन फाराम भरेर लिइएको
टोकन नम्बर,
२. TM हार दुलहीको नागरिकता
प्रमाणपत्रको प्रतिलिपि,
३.दुवैजनाको पासपोर्ट साईजको २
प्रति फोटो
४ बसाइँसराइ गरी आएको भए
बसाइँसराइँ प्रमाणपत्रको प्रतिलिपि,
५, विदेशमा जन्म भएकाको हकमा
सम्बन्धित नेपाली नियोगबाट वा
कन्सुलर सेवा बिभागबाट प्रमाणित
कागज","Ǔबवाह
भएको ३५
ǑदनǓभğ
शुल्
क
नलाग्ने र
सो
भन्दा
पǓछको
समयका
लाǓग र.
५०
शुल्
क
लाग्न","सोहि दिन्‌
सर्जमिनको
हकमा
बढीमा ५
दिन","स्थानीय
पञ्जिकाधिकारी
(वडा सचिव)",3,4
३,बसाइ सराई आउने/जाने,"q .public.donidcr.gov.np प्रयोग गरी
अनलाईन फाराम भरेर लिइएको
टोकन नम्बर
२. बसाइसराई गरी आउनेको हकमा
बसाइसराई लगत हस्तान्तरण फारम
र सूचकको नागरिकता प्रमाण पत्रको
प्रतिलिपि र परिवारको कुनै सदस्यको
नाममा भएको घरजरगाधनी प्रमाण
पूर्जा वा अन्य प्रमाण ।
३. बसाइसराई गरी जानेको हकमा
बसाइसराई गरी जाने परिवारका सबै
सदस्यको नागरिकता प्रमाण पत्र र
नाबालकको हकमा जन्म दर्ता
प्रमाणपत्रको प्रतिलिपि र जाने ठाउँमा
परिवारको कुनै सदस्यको नाममा
भएको घरजग्गाधनी प्रमाण पूर्जा वा
अन्य प्रमाण ।","बसाइर्सराइर
गरȣ जानेको
हकमा र
५० र
बसाइर् सराइर
गरȣ
आउनेको
हकमा ३५
ǑदनǓभğ दतार्
गरे शुल्
क
नलाग्ने र
सो
भन्दा
पǓछको
समयका
लाǓग र.५०
शुल्
क लाग्","सोहि दिन्‌
सर्जमिनको
हकमा
बढीमा ५
दिन","स्थानीय
पञ्जिकाधिकारी
(वडा सचिव)",4,5
४,सम्वन्धबिच्छेद दर्ता,"q .public.donidcr.gov.np प्रयोग गरी
अनलाईन फाराम भरेर लिइएको
टोकन नम्बर
२.पति र पत्लीको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३.विवाह दर्ता प्रमाण पत्रको प्रतिलिपि
४.बसाईसराई गरी आएको हकमा
बसाईसराई दर्ता प्रमाणपत्र
५. अदालतबाट भएको सम्बन्ध
बिच्छेदको निर्णयको प्रतिलिपि
६.नेपाली नागरिकको विदेशमा
सम्बन्ध विच्छेद भएको भए
सम्बन्धित देशमा रहेको नेपाली
दूतावास वा नियोग वा कन्सुलर सेवा
विभागले प्रमाणिकरण गरेको
कागजात","सम्बन्
Ǔबच्छेद
भएको ३५
ǑदनǓभğ दतार्
गरे शुल्
क
नलाग्ने र
सो
भन्दा
पǓछको
समयका
लाǓग र.५०
शुल्
क लाग्",सोहि दिन,"स्थानीय
पञ्जिकाधिकारी
(वडा सचिव)",5,6
५,मृत्युदर्ता,"q .public.donidcr.gov.np प्रयोग गरी
अनलाईन फाराम भरेर लिइएको
टोकन नम्बर
२.मृतकको नागरिकता प्रमाणपत्रको
प्रतिलिपि
३.अस्पतालमा मृत्य भएको भए
अस्पताललेदिएको मृत्युको
प्रमाणपत्रको प्रतिलिपि
४. सूचकको नागरिकता प्रमाणपत्रको
प्रतिलिपि","घटना
घटेको ३५
Ǒदन Ǔभğ
Ǔनंशुल्
, सो
पƱात ५०
रु�पया मा","सोहि दिन्‌
सर्जमिनको
हकमा
बढीमा ५
दिन","स्थानीय
पञ्जिकाधिकारी
(वडा सचिव)",7,7
६,"अविवाहित प्रमाणित
।","१. ब्यहोरा खुलेको निवेदन
२.निवेदकको नागरिकता प्रमाणपत्रको
प्रतिलिपि
३. संरक्षक वा अभिभावकले
कार्यालयको रोहबरमा गरेकोसनाखत
पत्र र निजको नागरिकता
प्रमाणपत्रको प्रतिलिपि
४. बसाई सराई गरी आएको भए
बसाईसराई प्रमाणपत्रको प्रतिलिपि
५. अधिकार we अधिकारीलाई
सर्जमिन गर्नुपर्छ भन्ने लागेमा सर्जमिन
मुचुल्का
६. निवेदकको पासपोर्ट साईजको २
प्रति फोटो
७. चालु at ae वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण","र१०००
(६० वषर्
माǓथका
नागǐरकको
हकमा
Ǔन:शुल्
)","सोहि दिन्‌
सर्जमिनको
हकमा
बढीमा ५
दिन",बडा अध्यक्ष,8,9
७,जन्म मितिप्रमाणित,"१. ब्यहोरा खुलेको निवेदन
२. निवेदकको
नागरिकता/नाबालकको हकमा जन्म
दर्ता प्रमाणपत्रको प्रतिलिपि
३. बसा इँसराई गरी आ एकाको
हकमा बसाईसराई प्रमाणपत्रको
प्रतिलिपि
४. निवेदकको पासपोर्ट साईजको २
प्रति फोटो
५. चालु at a वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको
प्रमाण
६. चालु at ae वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको
प्रमाण",१०० रुपैय,"सोहि दिन्‌
सर्जमिनको
हकमा
बढीमा ५
दिन",बडा अध्यक्ष,9,10
८,विवाहप्रमाणित,"१. ब्यहोरा खुलेको निवेदन
२. दुलहा दुलहीको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३. बसा gar गरी आएकाको
हकमा बसाइँसराइ दर्ता प्रमाणपत्रको
प्रतिलिपि
४, दुलाहा दुलही दुबै उपस्थित भइ
गरेको सनाखत
५, अँग्रेजी भाषामा विवाहको प्रमाणित
गर्नुपर्दा विवाह दर्ता प्रमाण पत्रको
प्रतिलिपि
६. चालु at ae वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण","१०० रुपैया
माğ","सोहि दिन्‌
सर्जमिनको
हकमा
बढीमा ५
दिन",बडा अध्यक्ष,10,11
९,"जिवितसँगको नाता
प्रमाणित","१. ब्यहोरा खूलेको निवेदन
२. नाता खोल्नु पर्ने सबैको
नागरिकता प्रमाणपत्रको प्रतिलिपि वा
नाबालकको हकमा जन्म दर्ता
प्रमाणपत्रको प्रतिलिपि
३. नाता खुल्ने प्रमाणपत्रको प्रतिलिपि
४. बसा sams गरी आएकाको
हकमा बसा eau, दर्ता
प्रमाणपत्रकोप्रतिलिपि
५, नाता प्रमाणित गर्नेव्यक्तिहरुको
२, २ प्रति पासपोर्ट साइजको फोटो
६. कर्मचारी भएमा नाता खोली
ल्याएको सम्वन्धित कार्यालयको
सिफारिश पत्र
७. चालु al ae वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण","२००
Ǔनꓽशुल्","सोहि दिन्‌
सर्जमिनको
हकमा
बढीमा ५",बडा अध्यक्ष,11,12
१०,"नावालक परिचयपत्र
सिफारिस","१. नाबालक परिचय पत्रको फाराम
२. बाबु र आमाको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३. बाबु र आमा को विवाह दर्ता
प्रमाणपत्रको प्रतिलिपि
४. जन्म दर्ता प्रमाणपत्र को प्रतिलिपी
५ निवेदकको पासपोर्ट साईजको २
प्रति फोटो",Ǔनꓽशुल्,"सोहि दिन्‌
सर्जमिनको
हकमा
बढीमा ५
दिन",बडा अध्यक्ष,13,13
